Petrobras PN;;;;;;;;;;Economatica
;;;;;;;;;;
;;;;;;;;;;
Data;"Fechamento
ajust p/ prov
USD>C100
AGG";"Fechamento
ajust p/ prov
CZRE>C100
IPCA+7%";"Fechamento
ajust p/ prov
CZRE>C100
CDI Acumulado";"Fechamento
ajust p/ prov
CZRE>C100
IBXX";"Fechamento
ajust p/ prov
CZRE>C100
IDA DI";"Fechamento
ajust p/ prov
CZRE>C100
IMA-B 5";"Fechamento
ajust p/ prov
CZRE>C100
IMA-B";"Fechamento
ajust p/ prov
CZRE>C100
IFIX";"Fechamento
ajust p/ prov
CZRE>C100
IRF-M";"Fechamento
ajust p/ prov
USD>C100
S&P 500"
Out-2012;150,6910308;252,9079258;251,8976982;286,4779006;153,2097703;303,7653135;354,1109442;150;293,95312;120,3046464
Nov-2012;151,0983853;255,7265756;253,2692626;289,7790055;154,1793256;306,8328808;355,9921528;150,6;295,0936478;120,647118
Dez-2012;150,7288606;258,9954589;254,6223221;303,6187845;155,1538576;311,0885154;362,8229335;157,3;297,8743061;121,4998893
Jan-2013;149,7925722;262,6998117;256,1160257;304,3093923;156,2069946;311,8098597;364,7758263;161,3;297,9078336;127,6268934
Fev-2013;150,6782498;265,5562852;257,3494193;295,5110497;157,0623434;310,2381388;361,5769402;159,7;298,022934;129,0385238
Mar-2013;150,827384;268,2409219;258,733211;297,3895028;158,0449979;312,2794085;354,7674082;157,9;298,4436746;133,6823363
Abr-2013;152,2887043;271,3140963;260,2877899;299,7237569;159,1506447;315,153085;360,3792386;154,9;302,4836672;136,1000835
Mai-2013;149,240643;273,8576844;261,8101055;297,0994475;160,2155147;311,404802;344,1055249;154,9;299,8568345;138,9259001
Jun-2013;146,9046616;276,048047;263,359874;270,1657459;161,2420484;309,4325487;334,5042521;143,7;296,9296019;136,8421053
Jul-2013;147,2994406;277,7667122;265,226553;274,8618785;162,4535531;312,1333462;338,82254;142,7;300,8937154;143,6106047
Ago-2013;146,0815924;280,0828441;267,0719686;280;163,7078606;310,7594768;329,9681893;137,5;297,6151994;139,1158781
Set-2013;147,7188436;282,6523066;268,9391905;293,9364641;164,9705759;314,5219289;331,2426125;140;302,2097529;143,2545024
Out-2013;148,9470984;286,0242385;271,0997644;309,6961326;166,4485546;316,0501777;334,2580198;142,3;304,4401725;149,6430458
Nov-2013;148,5753875;289,0394775;273,0259822;303,4530387;167,7811517;316,0320884;322,2691889;141,1;303,1133615;153,8404525
Dez-2013;147,7479575;293,1904689;275,1566223;294,1160221;169,2157423;319,7294579;326,475182;137,4;305,648391;157,4653695
Jan-2014;150,0246338;296,5494837;277,4673182;270,1519337;170,76736;317,203143;318,14793;128,2;305,1051172;151,8622958
Fev-2014;150,5889019;300,2033672;279,6389793;269,2955801;172,2098699;326,2966093;332,2706247;133;311,7559994;158,4101481
Mar-2014;150,3659907;304,5146881;281,7640919;287,859116;173,6694279;329,2328357;334,6293916;133,6;313,7084358;159,5082721
Abr-2014;151,6014187;308,2054822;284,0617505;295,6629834;175,2458065;333,5665616;342,7225097;135;317,721061;160,4973505
Mai-2014;153,3893806;311,3738819;286,4998544;292,3618785;176,9248861;338,463135;357,3412456;136,9;323,5545423;163,8726551
Jun-2014;153,3011582;314,2182003;288,8417228;302,9558011;178,5269394;342,2178064;357,5523524;138,7;326,5288588;166,9957915
Jul-2014;152,9159162;316,1112959;291,5580689;316,4779006;180,3735494;345,1487147;361,5814767;140,9;330,2343694;164,4775179
Ago-2014;154,6739179;318,6933819;294,0640937;346,8232044;182,1108287;349,8177398;379,006482;141,3;335,4889208;170,6709717
Set-2014;153,7224364;322,4086948;296,7123875;307,8176796;183,9540294;349,8293665;365,6144102;142,1;333,0112023;168,0232063
Out-2014;155,3581668;325,7682953;299,515722;310,7320442;185,8899564;353,1081232;373,2201712;140,2;336,8001438;171,9215893
Nov-2014;156,3788652;329,104281;302,0252315;311,698895;187,5974649;356,8044451;381,2244315;136,1;340,701612;176,1394422
Dez-2014;156,4790194;333,4570713;304,9121102;285,9392265;189,5627745;356,9506575;373,957158;133,6;340,4980994;175,40168
Jan-2015;159,6904486;339,500733;307,7457991;269,1298343;191,4600755;364,281713;385,614796;137,2;346,5785399;169,9570633
Fev-2015;158,2617266;345,3074039;310,2647749;294,2265193;193,1573532;368,7295816;387,7099393;136,9;347,5833783;179,2864323
Mar-2015;158,8543046;351,9381299;313,4795025;292,7348066;195,2705418;372,5253705;386,6105299;134,7;347,467351;176,1675555
Abr-2015;158,3411656;356,3452416;316,4521498;319,4198895;197,2288904;374,2379039;396,039513;139,7;351,2630972;177,6686374
Mai-2015;157,6486705;360,9150199;319,565548;301,9475138;199,3482594;380,3429776;406,2233131;141,7;356,9879524;179,532637
Jun-2015;155,9517256;365,8230359;322,9715721;304,2541437;201,666274;383,564252;405,1358428;146;358,1370059;175,76119
Jul-2015;157,2969043;370,2717792;326,773968;293,7845304;204,2769147;390,3951394;402,1978644;147;362,5518534;179,237021
Ago-2015;156,7684714;373,1845534;330,3929502;269,5441989;206,7308516;388,5654855;389,6724999;145,8;359,4852575;168,0138352
Set-2015;158,041093;377,321184;334,052011;261,1740332;209,1926521;391,6330431;387,0040938;140;356,1108244;163,5710756
Out-2015;158,1495595;382,5661406;337,7524171;264,7237569;211,6488207;401,3801165;396,9707383;143;359,3849437;177,144707
Nov-2015;157,5336854;388,4063704;341,3163004;260,3314917;213,75282;403,5682415;401,0659538;145,2;362,7089697;177,2341586
Dez-2015;156,9975238;394,2463962;345,2800172;250,4558011;216,3171365;412,1245659;407,1702843;140,9;364,7587156;174,1272086
Jan-2016;158,9452757;401,2952192;348,9224781;234,7928177;217,8219994;424,3683318;414,9541083;132,2;374,9489953;165,2928047
Fev-2016;160,3552659;406,9776835;352,416887;247,2237569;219,3825736;430,8961002;424,3341537;136,1;380,7198054;164,6104173
Mar-2016;161,7571456;411,1490665;356,5067904;285,3314917;222,3237265;434,1636515;446,8708821;148,5;393,751441;175,4732412
Abr-2016;162,1688679;415,8842787;360,2660568;305,7044199;225,1718512;440,849489;464,4162102;155,4;407,3770691;175,9469084
Mai-2016;162,1911249;421,4979877;364,2559574;276,9475138;228,2496833;444,3700384;463,9600165;161,2;408,4396223;178,6432332
Jun-2016;165,3226813;425,479003;368,4832559;294,8895028;231,475085;448,5388032;472,911014;163,8;417,1543611;178,8059498
Jul-2016;166,2308708;430,1097236;372,5641602;328,2458564;234,5191588;453,9519926;484,7688923;173,5;422,6638179;185,1731952
Ago-2016;165,8723628;434,6781577;377,0855985;331,9198895;238,0650967;458,9173683;489,0663712;176,7;426,7890152;184,9474366
Set-2016;165,957355;437,4856;381,2617724;333,9226519;241,178338;465,3854924;496,7473545;181,6;435,1538629;184,7191222
Out-2016;164,6014267;440,9846865;385,2552537;369,8342541;244,2383997;467,5231991;499,9344095;188,5;440,451011;181,1308378
Nov-2016;160,3782513;444,1570724;389,2499187;351,339779;246,8885856;469,3813163;493,8343984;183,7;441,8704692;187,320884
Dez-2016;160,78519;448,0084063;393,6163769;342,3756906;250,38954;475,9276758;508,1916892;186,4;450,0076608;190,7302653
