Petrobras PN;;;;;;;;;;;Economatica
;;;;;;;;;;;
;;;;;;;;;;;
Data;"Fechamento
ajust p/ prov
moeda orig em 100
IPCA+7%";"Fechamento
ajust p/ prov
moeda orig em 100
RfOffshoreReal";"Fechamento
ajust p/ prov
moeda orig em 100
S&PREAL";"Fechamento
ajust p/ prov
moeda orig em 100
CDI Acumulado";"Fechamento
ajust p/ prov
moeda orig em 100
IDIV";"Fechamento
ajust p/ prov
moeda orig em 100
IDA DI";"Fechamento
ajust p/ prov
moeda orig em 100
IMA-B 5";"Fechamento
ajust p/ prov
moeda orig em 100
IMA-B 5+";"Fechamento
ajust p/ prov
moeda orig em 100
IFIX";"Fechamento
ajust p/ prov
moeda orig em 100
IRF-M";"Fechamento
ajust p/ prov
moeda orig em 100
SMLL"
Ago-2015;373,1845534;245,3594946;343,2125147;330,3929502;228;206,7308516;388,5654855;435,8602169;145,8;359,4852575;171,0622852
Set-2015;377,321184;269,4770386;364,0258094;334,052011;213,9;209,1926521;391,6330431;428,7434426;140;356,1108244;166,4285439
Out-2015;382,5661406;261,9241955;382,9214878;337,7524171;227,7;211,6488207;401,3801165;440,0354016;143;359,3849437;175,502954
Nov-2015;388,4063704;260,3430254;382,290818;341,3163004;210,4;213,75282;403,5682415;445,9657773;145,2;362,7089697;172,027648
Dez-2015;394,2463962;263,1090007;380,8758755;345,2800172;202,5;216,3171365;412,1245659;450,9999529;140,9;364,7587156;162,9532378
Jan-2016;401,2952192;275,7871258;374,3296591;348,9224781;183,2;217,8219994;424,3683318;456,4426454;132,2;374,9489953;149,0520138
Fev-2016;406,9776835;273,8840594;366,9566572;352,416887;198,1;219,3825736;430,8961002;468,9858131;136,1;380,7198054;156,0026258
Mar-2016;411,1490665;247,0719071;349,820065;356,5067904;238,9;222,3237265;434,1636515;507,8993074;148,5;393,751441;173,765301
Abr-2016;415,8842787;240,1769813;340,1100478;360,2660568;268,5;225,1718512;440,849489;535,1611182;155,4;407,3770691;183,4189288
Mai-2016;421,4979877;250,2546574;359,7622397;364,2559574;236,7;228,2496833;444,3700384;531,2430384;161,2;408,4396223;175,6960266
Jun-2016;425,479003;227,7479732;321,4977749;368,4832559;254,9;231,475085;448,5388032;544,9023538;163,8;417,1543611;191,7210488
Jul-2016;430,1097236;231,0823288;335,9751074;372,5641602;287,3;234,5191588;453,9519926;563,1183447;173,5;422,6638179;219,7165695
Ago-2016;434,6781577;230,6765033;335,7001768;377,0855985;292,7;238,0650967;458,9173683;568,0433336;176,7;426,7890152;220,1027146
Set-2016;437,4856;231,2149363;335,8962554;381,2617724;291,9;241,178338;465,3854924;577,5089308;181,6;435,1538629;220,2957872
Out-2016;440,9846865;224,7268812;322,7659779;385,2552537;335,3;244,2383997;467,5231991;581,7197902;188,5;440,451011;235,7415917
Nov-2016;444,1570724;233,8012199;356,4194721;389,2499187;327,9;246,8885856;469,3813163;569,8259493;183,7;441,8704692;215,8551184
Dez-2016;448,0084063;224,8991619;348,2052638;393,6163769;325;250,38954;475,9276758;590,9846162;186,4;450,0076608;214,696683
Jan-2017;452,2535687;216,2426837;340,0665852;397,8854044;352,9;253,7730291;481,4313263;604,2048;193,4;460,2869563;239,2168977
Fev-2017;455,9441586;215,7114998;349,5919915;401,3223873;377,6;256,4066169;488,614836;634,7667704;202,8;469,554194;252,9250492
Mar-2017;459,9153345;220,3995444;357,2471642;405,5379399;370,6;259,7033326;495,4111399;640,3214708;203,2;476,6171182;249,2566707
Abr-2017;462,7903754;224,5051937;363,9083229;408,7226106;374;262,0150797;498,9277073;635,0995005;203,5;479,1656942;257,7518632
Mai-2017;466,9751812;229,2496224;373,3348219;412,5055628;352,7;264,8376889;499,3482447;623,8203394;205,6;480,6125804;255,0488474
Jun-2017;468,535411;233,7658115;382,59138;415,8390148;348,4;267,1880711;501,9678959;623,4741727;207,4;487,1083549;256,0142101
Jul-2017;472,3154214;221,9624135;369,0690947;419,1538889;365,2;269,7123473;516,2558465;652,6128759;206,6;498,3446032;276,8660463
Ago-2017;476,1440428;225,2251696;371,2051929;422,5132068;390,626;272,1826854;522,7328654;661,5051238;208,4;503,6136799;300,6178322
Set-2017;479,4736188;225,4244736;380,8832995;425,207653;414,544;274,1319507;527,994852;677,3726142;222,105;511,0616561;311,6673746
Out-2017;484,2098078;233,4021791;402,7177748;427,9423733;415,746;276,0757526;530,5500137;670,5230888;222,626;511,5857171;307,0432869
Nov-2017;488,0489139;231,9679024;412,0940254;430,3707422;388,027;277,7624178;531,0951137;661,1403375;221,308;512,0268098;299,5964784
Dez-2017;492,703331;236,6026704;422,0657252;432,6846648;407,214;279,3453562;535,7884247;666,3353949;222,646;518,4014116;320,6606943
Jan-2018;496,9260657;223,6440191;426,1561901;435,2088864;447,449;281,3124286;542,9335241;699,3091851;228,523;525,1328869;334,5619184
Fev-2018;500,9312697;227,1632114;420,2429965;437,232291;444,723;282,8198624;545,8607853;703,2012374;231,141;530,9214077;333,326254
Mar-2018;504,2169952;234,2484817;418,888497;439,5564291;449,407;284,6058223;554,7047851;705,8879459;235,754;537,9476406;333,5753176
Abr-2018;508,1834608;243,0264564;439,9053141;441,8311897;443,033;286,3598122;557,0428473;701,4482541;233,725;540,4556971;341,4912924
Mai-2018;513,1010311;262,618572;482,4548356;444,1177226;396,396;288,0872272;548,3678307;668,8099757;221,411;530,4392752;302,8787118
Jun-2018;522,5038065;271,2460606;500,1952873;446,4160893;379,243;289,0848499;550,8336753;661,5970183;212,522;530,673735;291,7866934
Jul-2018;527,1921308;264,0712145;504,6523227;448,8366602;406,817;291,0709812;558,9666841;682,411894;215,445;538,4982104;306,6301116
Ago-2018;529,980305;292,4762994;572,5970653;451,3812916;391,755;292,9858312;557,5377095;678,8596982;213,94;533,489078;293,6015755
Set-2018;535,2476889;281,4290056;556,7834488;453,4942558;392,431;294,5979847;562,4744589;671,8389738;213,481;540,4017895;287,8422211
Out-2018;540,8414796;259,6282655;481,1039435;455,9569474;437,316;296,4901566;579,9026618;743,4830294;224,245;559,8253275;324,08194
Nov-2018;542,465919;271,209127;508,8746226;458,207361;469,132;298,183956;580,7307494;754,8065314;230,048;565,3650183;339,6030428
Dez-2018;545,9115127;277,4055987;463,547419;460,4688807;472,174;299,9840842;588,6465589;768,9853607;235,159;574,0371064;346,7274202
Jan-2019;550,75497;263,8291734;471,2573674;462,969447;531,117;301,947558;597,709394;819,8241327;240,969;582,0019129;379,3566822
Fev-2019;556,1013296;269,7790017;496,7748209;465,2544717;520,338;303,7250854;600,9744247;824,331124;243,456;583,7080153;372,4601305
Mar-2019;563,1374783;287,1632899;527,0776959;467,4356903;511,042;305,3329825;605,688878;827,8896202;248,293;587,1346534;372,8327606
Abr-2019;569,5495722;290,1621011;554,6311292;469,8584117;526,851;307,1891368;612,3853508;842,7293309;250,845;590,6919615;379,0323204
Mai-2019;573,668491;295,362684;517,5446219;472,4099688;543,397;308,9612136;620,8694247;886,5424174;255,269;601,1431809;386,4984361
Jun-2019;576,6600529;290,3862845;537,9871877;474,6247355;560,309;310,4669415;631,5233569;931,3913618;262,61;614,1083507;413,4957717
Jul-2019;581,1784397;285,8052182;535,4779766;477,3196639;575,801;312,346616;637,6747699;945,4499424;265,955;620,784102;441,423717
Ago-2019;585,2645326;322,9101427;577,9657191;479,7144313;588,628;313,9427949;637,9922154;938,1806343;265,669;622,3964932;443,5282079
Set-2019;588,3382739;322,9430373;591,5691153;481,9391392;599,762;315,4147704;649,0896628;973,1396943;268,426;631,3599526;452,7532147
Out-2019;592,5746001;311,1590231;580,425265;484,2489208;608,874;315,6128667;659,8128683;1018,547009;279,198;642,0710512;463,0961115
Nov-2019;598,6427796;328,1351453;633,1485382;486,0909217;623,187;315,3967712;657,9512687;977,0785874;289,026;639,1184076;486,9135421
Dez-2019;608,6240074;312,970245;621,4474196;487,9122901;685,414;316,762208;666,0781612;1002,517995;319,758;643,0947472;548,5133413
Jan-2020;613,5152917;338,2386799;657,1935387;489,7498831;674,564;318,3543386;669,7848386;1002,865985;307,728;648,7352547;551,0039773
Fev-2020;618,0286589;362,0455154;634,2272891;491,1884122;632,904;319,3355591;674,0848908;1006,048359;296,381;652,95601;505,4195467
Mar-2020;622,125159;416,1760086;641,2139233;492,8504461;471,307;303,7918359;662,255831;896,0844278;249,41;652,2588325;328,1770089
Abr-2020;623,5358191;441,9195761;754,2787027;494,2547059;489,029;305,2753746;665,4887685;914,1384431;260,362;659,7545857;361,6268294
